city,date,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,venue
Chandigarh,9/5/2017,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kings XI Punjab,14,0,"Punjab Cricket Association IS Bindra Stadium, Mohali"
Kanpur,10/5/2017,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,2,Green Park
Mumbai,11/5/2017,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,7,0,Wankhede Stadium
Delhi,12/5/2017,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,bat,Delhi Daredevils,7,0,Feroz Shah Kotla
Kanpur,13-05-2017,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,8,Green Park
Kolkata,13-05-2017,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,9,0,Eden Gardens
Pune,14-05-2017,Kings XI Punjab,Rising Pune Supergiant,Rising Pune Supergiant,field,Rising Pune Supergiant,0,9,Maharashtra Cricket Association Stadium
Delhi,14-05-2017,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,10,0,Feroz Shah Kotla
Mumbai,16-05-2017,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,Rising Pune Supergiant,20,0,Wankhede Stadium
Bangalore,17-05-2017,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,7,M Chinnaswamy Stadium
Bangalore,19-05-2017,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,6,M Chinnaswamy Stadium
Hyderabad,21-05-2017,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,Mumbai Indians,1,0,"Rajiv Gandhi International Stadium, Uppal"
